provider,runs,integrity_ok,dataset_mb,seed_keys,backup_duration_s_mean,backup_duration_s_std,restore_duration_s_mean,restore_duration_s_std,seed_duration_s_mean,seed_duration_s_std,verify_duration_s_mean,verify_duration_s_std
Valkey,5,5,10240,10485760,126.6,6.913754406977442,295.8,8.871302046486749,627.454,8.436031650011758,0.034,0.005477225575051662
Redis 7.2,5,5,10240,10485760,137.0,3.8078865529319543,322.8,6.180614856144977,628.086,3.134833328902852,0.034,0.005477225575051662
Memorystore,5,5,10240,10485760,118.6,1.140175425099138,496.0,18.748333259252675,615.6899999999999,2.8384855116769563,36.6,0.8944271909999159
