provider,provider_label,run,dataset_mb,seed_keys,source_flush_duration_s,seed_duration_s,seed_wall_duration_s,backup_duration_s,restore_duration_s,verify_duration_s,verify_mode,restored_keys,key_count_ok,used_memory_dataset,integrity_ok
memorystore,Memorystore,1,10240,10485760,35,614.76,683,117,508,37,size,10485760,True,13926656228,True
memorystore,Memorystore,2,10240,10485760,42,612.32,648,119,510,37,size,10485760,True,13926656556,True
memorystore,Memorystore,3,10240,10485760,43,619.98,655,119,508,35,size,10485760,True,13926656372,True
memorystore,Memorystore,4,10240,10485760,41,616.59,651,118,487,37,size,10485760,True,13926668404,True
memorystore,Memorystore,5,10240,10485760,43,614.8,651,120,467,37,size,10485760,True,13926677212,True
